"UniqueID","start.time","Vtot","Area","Tcham","Pcham"
"S19_40cm",2026-05-26 21:01:00,1.26350382616539,600,28,101.3
"S19_80cm",2026-05-26 21:06:00,1.26350382616539,600,28,101.3
"S19_160cm",2026-05-26 21:09:00,1.26350382616539,600,28,101.3
"S30_40cm",2026-05-26 21:59:00,1.26350382616539,600,28,101.3
"S30_80cm",2026-05-26 22:03:00,1.26350382616539,600,28,101.3
"S53_40cm",2026-05-25 21:39:00,1.26350382616539,600,28,101.3
"S53_80cm",2026-05-25 21:43:00,1.26350382616539,600,28,101.3
"S53_160cm",2026-05-25 21:48:00,1.26350382616539,600,28,101.3
"S63a_40cm",2026-05-25 21:19:00,1.26350382616539,600,28,101.3
"S63a_80cm",2026-05-25 21:24:00,1.26350382616539,600,28,101.3
"S63a_160cm",2026-05-25 21:30:00,1.26350382616539,600,28,101.3
"S7_40cm",2026-05-25 20:27:00,1.26350382616539,600,28,101.3
"S7_80cm",2026-05-25 20:30:00,1.26350382616539,600,28,101.3
"S7_160cm",2026-05-25 20:35:00,1.26350382616539,600,28,101.3
"SE17_40cm",2026-05-22 21:59:00,1.26350382616539,600,28,101.3
"SE17_80cm",2026-05-22 22:03:00,1.26350382616539,600,28,101.3
"SE17_160cm",2026-05-22 22:06:00,1.26350382616539,600,28,101.3
"SE27_40cm",2026-05-22 21:23:00,1.26350382616539,600,28,101.3
"SE27_80cm",2026-05-22 21:32:00,1.26350382616539,600,28,101.3
"SE27_160cm",2026-05-22 21:37:00,1.26350382616539,600,28,101.3
"SE28A_40cm",2026-05-22 20:47:00,1.26350382616539,600,28,101.3
"SE28A_80cm",2026-05-22 20:50:00,1.26350382616539,600,28,101.3
"SE28A_160cm",2026-05-22 20:57:00,1.26350382616539,600,28,101.3
"SE32A_40cm",2026-05-22 20:31:00,1.26350382616539,600,28,101.3
"SE32A_80cm",2026-05-22 20:36:00,1.26350382616539,600,28,101.3
"SE32A_160cm",2026-05-22 20:39:00,1.26350382616539,600,28,101.3
"SE32B_40cm",2026-05-22 20:10:00,1.26350382616539,600,28,101.3
"SE32B_80cm",2026-05-22 20:14:00,1.26350382616539,600,28,101.3
"SE32B_160cm",2026-05-22 20:19:00,1.26350382616539,600,28,101.3
"SE33_40cm",2026-05-22 19:50:00,1.26350382616539,600,28,101.3
"SE33_80cm",2026-05-22 19:55:00,1.26350382616539,600,28,101.3
"SE33_160cm",2026-05-22 20:03:00,1.26350382616539,600,28,101.3
"SE40_40cm",2026-05-22 19:33:00,1.26350382616539,600,28,101.3
"SE40_80cm",2026-05-22 19:38:00,1.26350382616539,600,28,101.3
"SE40_160cm",2026-05-22 19:42:00,1.26350382616539,600,28,101.3
"SE58_40cm",2026-05-22 19:01:00,1.26350382616539,600,28,101.3
"SE58_80cm",2026-05-22 19:05:00,1.26350382616539,600,28,101.3
"SE58_160cm",2026-05-22 19:09:00,1.26350382616539,600,28,101.3
"SE59_40cm",2026-05-22 19:16:00,1.26350382616539,600,28,101.3
"SE59_80cm",2026-05-22 19:21:00,1.26350382616539,600,28,101.3
"SE59_160cm",2026-05-22 19:25:00,1.26350382616539,600,28,101.3
"SE8A_40cm",2026-05-22 21:44:00,1.26350382616539,600,28,101.3
"SE8A_80cm",2026-05-22 21:48:00,1.26350382616539,600,28,101.3
"SE8A_160cm",2026-05-22 21:52:00,1.26350382616539,600,28,101.3
"SW22_40cm",2026-05-25 21:02:00,1.26350382616539,600,28,101.3
"SW22_80cm",2026-05-25 21:09:00,1.26350382616539,600,28,101.3
"SW22_160cm",2026-05-25 21:15:00,1.26350382616539,600,28,101.3
"SW61_40cm",2026-05-25 21:52:00,1.26350382616539,600,28,101.3
"SW61_80cm",2026-05-25 21:59:00,1.26350382616539,600,28,101.3
"SW61_160cm",2026-05-25 22:06:00,1.26350382616539,600,28,101.3
"W10_40cm",2026-05-27 16:20:00,1.26350382616539,600,28,101.3
"W10_70cm",2026-05-27 16:28:00,1.26350382616539,600,28,101.3
"W23a_40cm",2026-05-27 16:41:00,1.26350382616539,600,28,101.3
"W23a_80cm",2026-05-27 16:49:00,1.26350382616539,600,28,101.3
"W5_40cm",2026-05-27 16:11:00,1.26350382616539,600,28,101.3
"W5_80cm",2026-05-27 16:14:00,1.26350382616539,600,28,101.3
